,,,,,,,,,,,,,,dip_dir,,,,,corr_dir
f033cab836a09a11bc1c62cc78dd334e, Willie way, 56f65a9b07ec9465106c6159d87da9ed,711014.5968,4361183.917,39.374362,-114.550295, 11S,2309,10,19, Paleocurrent,179,46,269,11.591, Salvi, Thu Jun 29 13:06:09 2023,,266.3
f033cab836a09a11bc1c62cc78dd334e, Willie way, b68e3944f560d6a50247f9f6b73fe5f9,711014.7354,4361184.106,39.374363,-114.550293, 11S,2309,10,19, Paleocurrent,182,48,272,11.591, Salvi, Thu Jun 29 13:05:55 2023,,268.1
f033cab836a09a11bc1c62cc78dd334e, Willie way, 816420ed889b9443765b784bfbfde2ca,711014.9864,4361174.856,39.37428,-114.550293, 11S,2314,5,9.5, Paleocurrent,198,40,288,11.591, Salvi, Thu Jun 29 12:32:40 2023,,281.1
f033cab836a09a11bc1c62cc78dd334e, Willie way, 21df7cf490fc41c784cfbcd3729ee325,711014.9723,4361185.964,39.37438,-114.55029, 11S,2308.7,10,19, Paleocurrent,198,42,288,11.591, Salvi, Thu Jun 29 13:03:33 2023,,280.5
f033cab836a09a11bc1c62cc78dd334e, Willie way, c056acb11f5d94080ed0ba7847398b6f,711015.7435,4361162.843,39.374172,-114.550288, 11S,2309.3,10,19, Paleocurrent,245,22,335,11.591, Salvi, Thu Jun 29 12:59:26 2023,,324.6
f033cab836a09a11bc1c62cc78dd334e, Willie way, e6455f7adc540a2f958baf4c3f0a385b,711023.3594,4361173.417,39.374265,-114.550197, 11S,2311,10,19, Paleocurrent,169,38,259,11.591, Salvi, Thu Jun 29 12:56:46 2023,,79.2
11427bae3a42e0e34fc32798846c3dde, Locality 2, 290132af793d24e3375bf26144e023fa,710903.7312,4366636.324,39.423474,-114.549863, 11S,2415.864746,5,16, Foreset ,177,29,267,11.654, Salvi, Sat Oct 22 12:23:04 2022,,86.2
11427bae3a42e0e34fc32798846c3dde, Locality 2, d387d3a4b233b51f055e1fa9470249c4,710963.1507,4366652.133,39.423602,-114.549169, 11S,2383.361572,5,8, Foreset ,171,56,261,11.654, Salvi, Sat Oct 22 12:14:56 2022,,260.6
11427bae3a42e0e34fc32798846c3dde, Locality 2, 2ea5212c96c55f3d4084edcac4084e25,711059.8186,4366688.327,39.423904,-114.548035, 11S,2332.684814,5,8, Foreset ,202,62,292,11.654, Salvi, Sat Oct 22 12:06:58 2022,,275.9
11427bae3a42e0e34fc32798846c3dde, Locality 2, 6257f467c13c9773b7f7873af686c87c,711390.5135,4359339.745,39.357668,-114.546516, 11S,2584.201416,5,4, Foreset ,165,52,255,11.654, Jenny Lind, Mon Oct 31 13:15:51 2022,,256.9
11427bae3a42e0e34fc32798846c3dde, Locality 2, ca917f02b06b45d7a4b9353efd5a2ba1,711434.9459,4358490.6,39.350012,-114.546268, 11S,2681.463135,5,4, Foreset ,157,62,247,11.654, Cocomongo, Fri Oct 21 17:19:02 2022,,253.4
11427bae3a42e0e34fc32798846c3dde, Locality 2, a9f4904c4b2a34e72215785d5c1675a2,711483.2968,4358373.12,39.348943,-114.545745, 11S,2639.069092,5,3, Foreset ,149,44,239,11.654, Jl xbeds , Fri Oct 21 16:38:24 2022,,245
11427bae3a42e0e34fc32798846c3dde, Locality 2, 8237578cef478af7a9812411e46bb72e,711483.5749,4358374.855,39.348958,-114.545741, 11S,2638.860107,5,3, Foreset ,158,44,248,11.654, Jl xbeds , Fri Oct 21 16:38:12 2022,,251.4
11427bae3a42e0e34fc32798846c3dde, Locality 2, b7d254e56906a307dee88858dffc8205,711504.6749,4358466.393,39.349777,-114.545467, 11S,2703.13501,5,8, Foreset ,186,27,276,11.654, Jenny Lind, Fri Oct 21 17:11:59 2022,,94.5
11427bae3a42e0e34fc32798846c3dde, Locality 2, 1f8c4e990f08bb3a8f51fb7da9d69d1a,711508.9394,4358423.857,39.349393,-114.545431, 11S,2669.966309,5,8, Foreset ,172,50,262,11.654, Jenny Lind, Fri Oct 21 16:50:11 2022,,261.3
11427bae3a42e0e34fc32798846c3dde, Locality 2, 8418ac5c94b1db548a8330c38770001d,711491.9844,4359325.232,39.357512,-114.545344, 11S,2545.046631,5,6, Foreset ,154,44,244,11.654, Salvi, Mon Oct 31 12:34:45 2022,,248.5
11427bae3a42e0e34fc32798846c3dde, Locality 2, 189d64e4fbfcf23253dcb03f1f9a645a,711532.6665,4358329.906,39.348542,-114.545186, 11S,2595.931396,5,4, Foreset ,181,34,271,11.654, Cocomongo, Fri Oct 21 16:05:35 2022,,89.1
11427bae3a42e0e34fc32798846c3dde, Locality 2, 2967fc8aaf77317bdd66a07855b0b4c5,711535.9757,4358334.223,39.34858,-114.545146, 11S,2600.812744,10,24, Foreset ,174,25,264,11.654, Cocomongo, Fri Oct 21 16:04:27 2022,,83.8
11427bae3a42e0e34fc32798846c3dde, Locality 2, abed2875e0c3fa540876f1caddce3cca,711549.6762,4358331.234,39.348549,-114.544988, 11S,2591.036377,5,8, Foreset ,203,29,293,11.654, Cocomongo, Fri Oct 21 16:03:36 2022,,108.6
11427bae3a42e0e34fc32798846c3dde, Locality 2, 351e221ec5ab19857e1ef81aafcf73cf,711590.2293,4358315.862,39.348401,-114.544523, 11S,2571.324463,5,8, Foreset ,159,36,249,11.654, Cocomongo, Fri Oct 21 16:00:56 2022,,71.1
11427bae3a42e0e34fc32798846c3dde, Locality 2, 82b8e25ae5fa5a3851a9c2570b4f157a,711688.9043,4359348.357,39.357672,-114.543053, 11S,2422.032227,5,8, Foreset ,161,56,251,11.654, Salvi, Mon Oct 31 11:28:13 2022,,254.8
11427bae3a42e0e34fc32798846c3dde, Locality 2, 046e15fd4e139b91d5430e5405540857,711721.9615,4358356.296,39.348733,-114.542983, 11S,2550.550293,5,3, Foreset ,180,70,270,11.654, Salvi, Fri Oct 21 14:53:32 2022,,263.9
11427bae3a42e0e34fc32798846c3dde, Locality 2, b00979538565c402249a6741b60fc9ff,711722.3531,4358355.72,39.348728,-114.542978, 11S,2550.623291,5,4, Foreset ,176,55,266,11.654, Salvi, Fri Oct 21 14:53:49 2022,,263.6
11427bae3a42e0e34fc32798846c3dde, Locality 2, 381e4eade3971ba01e0610d91a7f3f74,711801.4638,4358276.935,39.347999,-114.542086, 11S,2530.01416,5,3, Foreset ,227,56,317,11.654, Salvi, Fri Oct 21 14:39:19 2022,,291.5
11427bae3a42e0e34fc32798846c3dde, Locality 2, cc1bd0fc0b2e74737ca473932dec0a0e,711836.0215,4358279.217,39.348011,-114.541685, 11S,2525.20752,5,3, Foreset ,197,37,287,11.654, Salvi, Fri Oct 21 14:01:23 2022,,281.3
11427bae3a42e0e34fc32798846c3dde, Locality 2, e58b4b8baecb472754d16c65ff96c3cb,711837.9869,4358281.374,39.34803,-114.541661, 11S,2520.81665,5,6, Foreset ,217,31,307,11.654, Salvi, Fri Oct 21 14:01:57 2022,,298.8
11427bae3a42e0e34fc32798846c3dde, Locality 2, 463468599c3d1cffd2e22c9a1fc6e14a,711844.0764,4358269.325,39.34792,-114.541594, 11S,2514.729004,5,4, Foreset ,195,55,285,11.654, Salvi, Fri Oct 21 13:57:35 2022,,274.7
11427bae3a42e0e34fc32798846c3dde, Locality 2, ab6f141c29586f8b0ade555011c0d5c7,711863.1773,4358202.077,39.34731,-114.541394, 11S,2479.126221,5,4, Foreset ,168,42,258,11.654, Salvi, Fri Oct 21 13:43:32 2022,,258.5
11427bae3a42e0e34fc32798846c3dde, Locality 2, dde48a6ecdb559a661e1cde47de6d1a8,711958.9625,4358168.379,39.346983,-114.540294, 11S,2448.425537,5,6, Foreset ,170,55,260,11.654, Salvi fg , Fri Oct 21 13:19:27 2022,,260
11427bae3a42e0e34fc32798846c3dde, Locality 2, 0e0f856d0f371b8d080159486229ff54,711961.5617,4358164.25,39.346945,-114.540265, 11S,2452.856201,5,3, Foreset ,166,65,256,11.654, Salvi fg , Fri Oct 21 13:24:28 2022,,258.1
11427bae3a42e0e34fc32798846c3dde, Locality 2, d333e59d23de20e9ede7cbd5f202ba85,711970.9516,4358148.617,39.346802,-114.540161, 11S,2448.879639,5,6, Foreset ,196,39,286,11.654, Salvi, Fri Oct 21 13:14:43 2022,,279.9
11427bae3a42e0e34fc32798846c3dde, Locality 2, 7c5be201d3d31d4d3a7cdc9e6291b150,711979.2051,4358165.42,39.346952,-114.54006, 11S,2443.322998,5,6, Foreset ,166,39,256,11.654, Salvi fg , Fri Oct 21 13:08:47 2022,,76.9
11427bae3a42e0e34fc32798846c3dde, Locality 2, 80a9e0952033859e325c6dd74e94817d,712185.2043,4350648.252,39.279227,-114.540044, 11S,2762.80835,10,12, Foreset ,171,46,261,11.654, Shingle-massive qtzt , Wed Oct 26 16:32:16 2022,,260.7
11427bae3a42e0e34fc32798846c3dde, Locality 2, 12cf69c2c626438bee58dd5978405759,712017.8371,4358180.829,39.347081,-114.539607, 11S,2437.712158,10,24, Foreset ,177,27,267,11.654, Salvi fg , Fri Oct 21 13:03:59 2022,,86.4
11427bae3a42e0e34fc32798846c3dde, Locality 2, f04643352cb93b20355097efca70405d,712026.631,4358167.443,39.346958,-114.53951, 11S,2407.158447,10,6, Foreset ,182,25,272,11.654, Salvi, Fri Oct 21 13:01:58 2022,,91.2
11427bae3a42e0e34fc32798846c3dde, Locality 2, 03cc24819556d23d78b518f5a004d2e5,712094.2914,4358153.542,39.346816,-114.53873, 11S,2382.756592,5,6, Foreset ,200,66,290,11.654, Salvi, Fri Oct 21 12:17:11 2022,,273.3
11427bae3a42e0e34fc32798846c3dde, Locality 2, 1333aa8a25802861c67c14a474a30a1f,712206.2367,4358029.927,39.345676,-114.537471, 11S,2342.889648,5,6, Foreset ,223,60,313,11.654, Salvi, Fri Oct 21 12:07:53 2022,,286.9
11427bae3a42e0e34fc32798846c3dde, Locality 2, 40e45cf0bfb02ce03cd4d81b8d63eeaa,712206.2367,4358029.927,39.345676,-114.537471, 11S,2342.889648,5,6, Foreset ,233,76,323,11.654, Salvi, Fri Oct 21 12:07:39 2022,,276.9
11427bae3a42e0e34fc32798846c3dde, Locality 2, abd655a24ee8a1c1912d1f8ecac6d074,712264.4862,4358038.293,39.345737,-114.536793, 11S,2345.691895,5,6, Foreset ,190,45,280,11.654, Salvi, Fri Oct 21 12:00:11 2022,,274.1
11427bae3a42e0e34fc32798846c3dde, Locality 2, 60a79df18107d0a4fc18b5ebd770adc1,712271.0699,4358040.758,39.345758,-114.536716, 11S,2344.838135,5,3, Foreset ,165,48,255,11.654, Salvi, Fri Oct 21 11:58:52 2022,,256.6
11427bae3a42e0e34fc32798846c3dde, Locality 2, 88d3ab59cf341df9ef4a039ba0bcd667,712379.396,4358032.452,39.345656,-114.535462, 11S,2305.096191,5,4, Foreset ,170,46,260,11.654, Salvi, Fri Oct 21 11:42:13 2022,,260
11427bae3a42e0e34fc32798846c3dde, Locality 2, 81721fa978028dd9e3c25e41cecd91d8,712379.6765,4358031.18,39.345645,-114.535459, 11S,2306.273438,5,3, Foreset ,161,49,251,11.654, Salvi, Fri Oct 21 11:42:30 2022,,254
11427bae3a42e0e34fc32798846c3dde, Locality 2, 1c39e24d1c6ffb654795dc92c4070b8f,712382.7901,4358030.729,39.34564,-114.535423, 11S,2317.378906,5,12, Foreset ,201,47,291,11.654, Salvi, Fri Oct 21 11:41:22 2022,,280.9
11427bae3a42e0e34fc32798846c3dde, Locality 2, 5bd2edd7d06e5631145f86e36b04c13b,712405.4379,4358041.65,39.345733,-114.535157, 11S,2291.481445,5,6, Foreset ,182,46,272,11.654, Salvi, Fri Oct 21 11:22:57 2022,,268.4
11427bae3a42e0e34fc32798846c3dde, Locality 2, bf6ff871e5bc6c5685f24dd6bb0e776a,713939.9575,4351065.396,39.282551,-114.519586, 11S,2322.380615,10,12, Foreset ,169,53,259,11.654, Hues-Argillite-brown, Wed Oct 26 13:30:17 2022,,259.4
11427bae3a42e0e34fc32798846c3dde, Locality 2, 47294911aae74b55247dd516e48b8b06,714591.7138,4355772.113,39.324762,-114.510534, 11S,1953.678955,5,4, Foreset ,209,27,299,11.654, Taft creekcrew, Thu Oct 20 16:43:49 2022,,114.3
11427bae3a42e0e34fc32798846c3dde, Locality 2, c44fcd4b9f8efe2079d47e03571baf72,714982.5045,4355032.822,39.318009,-114.506241, 11S,1990.608398,5,6, Foreset ,152,29,242,11.654, Taft creekcrew, Thu Oct 20 13:24:41 2022,,64.1
11427bae3a42e0e34fc32798846c3dde, Locality 2, b51745ec26c89c857c81faf481e42389,714983.8619,4355033.167,39.318012,-114.506226, 11S,1992.323486,5,4, Foreset ,158,50,248,11.654, Taft creekcrew, Thu Oct 20 13:23:52 2022,,252.2
11427bae3a42e0e34fc32798846c3dde, Locality 2, a3d3ad6d195122bb98a6c0202f957cc9,714983.8012,4355035.628,39.318034,-114.506225, 11S,1991.699707,5,6, Foreset ,164,49,254,11.654, Taft creekcrew, Thu Oct 20 13:24:12 2022,,256
11427bae3a42e0e34fc32798846c3dde, Locality 2, 3fa47d3789a3a5e6bdde2216e2dd55bd,714984.2275,4355030.924,39.317992,-114.506222, 11S,1992.883545,5,6, Foreset ,136,22,226,11.654, Taft creekcrew, Thu Oct 20 13:25:14 2022,,48
11427bae3a42e0e34fc32798846c3dde, Locality 2, c2b4d0e6480dce4a688d34140706dbf1,714985.0935,4355030.208,39.317985,-114.506212, 11S,1992.027832,5,6, Foreset ,172,46,262,11.654, Taft creekcrew, Thu Oct 20 13:26:01 2022,,261.4
11427bae3a42e0e34fc32798846c3dde, Locality 2, d39c4ae1fd2bdee2c720a9430228f1f9,715088.5111,4351372.073,39.285028,-114.506183, 11S,1968.852783,5,6, Foreset ,163,37,253,11.654, Taft creekcrew, Wed Oct 26 10:25:03 2022,,74.4
11427bae3a42e0e34fc32798846c3dde, Locality 2, 4fe7c706929c8a6f0573149c666518ae,715106.7126,4351370.364,39.285008,-114.505973, 11S,1942.911377,10,24, Foreset ,171,39,261,11.654, Taft creekcrew, Wed Oct 26 10:17:39 2022,,80.8
11427bae3a42e0e34fc32798846c3dde, Locality 2, 9e8d2de04408af024f59152d1f3eb96e,715108.5849,4351370.69,39.28501,-114.505951, 11S,1948.989014,5,12, Foreset ,172,29,262,11.654, Taft creekcrew, Wed Oct 26 10:15:29 2022,,81.8
11427bae3a42e0e34fc32798846c3dde, Locality 2, d852cacbb0ed12f835d8da96b1e4ed3b,715108.5849,4351370.69,39.28501,-114.505951, 11S,1948.989014,5,12, Foreset ,212,22,302,11.654, Taft creekcrew, Wed Oct 26 10:15:16 2022,,118.9
11427bae3a42e0e34fc32798846c3dde, Locality 2, 71a54371fe8104a3fd5302c329db9116,715008.0592,4355019.173,39.31788,-114.50595, 11S,1965.914551,0,0, Foreset ,177,45,267,11.654, Taft creek qtzt 2, Thu Oct 20 13:38:27 2022,,265
11427bae3a42e0e34fc32798846c3dde, Locality 2, 1db024176db3803afd8ee1cc4f8c5036,715058.1159,4355064.345,39.318274,-114.505355, 11S,1960.40332,10,24, Foreset ,166,54,256,11.654, Taft creekcrew, Thu Oct 20 13:50:40 2022,,257.6
11427bae3a42e0e34fc32798846c3dde, Locality 2, 4477ab5027ad7df9cd8b646cc1932299,715105.6881,4355111.031,39.318683,-114.504789, 11S,1936.112793,5,4, Foreset ,174,54,264,11.654, Taft creekcrew, Thu Oct 20 14:04:46 2022,,262.4
11427bae3a42e0e34fc32798846c3dde, Locality 2, ebfbd58ee3198f383a32219b9ae98478,715113.8415,4355121.149,39.318772,-114.504691, 11S,1904.161621,5,12, Foreset ,161,35,251,11.654, Taft creekcrew, Thu Oct 20 14:08:05 2022,,72.6
11427bae3a42e0e34fc32798846c3dde, Locality 2, bb34894a784d29a429336a1a0235ecf6,715191.4691,4355279.398,39.320177,-114.503741, 11S,1851.991943,10,16, Foreset ,173,58,263,11.654, Taft creek qtzt 2, Thu Oct 20 14:53:57 2022,,261.7
11427bae3a42e0e34fc32798846c3dde, Locality 2, a142264a6e4a1ab385385b5c3d1784f9,715191.4691,4355279.398,39.320177,-114.503741, 11S,1851.991943,10,16, Foreset ,198,42,288,11.654, Taft creek qtzt 2, Thu Oct 20 14:53:50 2022,,280.5
11427bae3a42e0e34fc32798846c3dde, Locality 2, 7ec4cc8bf6b6fcd60d2fdebbccbb6f73,715192.8491,4355281.541,39.320196,-114.503724, 11S,1850.313721,5,6, Foreset ,157,54,247,11.654, Taft creek qtzt 2, Thu Oct 20 14:50:49 2022,,252.1
11427bae3a42e0e34fc32798846c3dde, Locality 2, 5511d0bf5a98f27e3b623546b2ac897a,715219.7355,4355490.772,39.322073,-114.503345, 11S,1841.162598,5,3, Foreset ,159,30,249,11.654, Taft creek carb, Thu Oct 20 15:36:31 2022,,70.4